comment,label
I hate you,hate
You are stupid,hate
This is the worst post ever,hate
I can't stand you,hate
ou Yare so annoying,hate
This community is terrible,hate
You are completely useless,hate
Nobody likes you,hate
You are such an idiot,hate
Stop posting nonsense,hate
You are horrible,hate
I dislike everything you say,hate
You are embarrassing yourself,hate
Your ideas are dumb,hate
This is a stupid comment,hate
You are the worst,hate
You make no sense,hate
This content is trash,hate
You are pathetic,hate
Your opinion is worthless,hate
You are amazing,normal
Have a great day,normal
I like this post,normal
You are very kind,normal
You are a good person,normal
This is a nice community,normal
Great job on this post,normal
I appreciate your effort,normal
That was very helpful,normal
Thanks for sharing this,normal
This made my day better,normal
I enjoyed reading this,normal
Keep up the good work,normal
That was a smart idea,normal
I respect your opinion,normal
You explained it well,normal
Nice work on this project,normal
I completely agree with you,normal
This is very informative,normal
You are very supportive,normal
I hate this post,hate
You are very irritating,hate
This comment makes no sense,hate
Stop being annoying,hate
You are acting foolish,hate
This is ridiculous,hate
Your logic is terrible,hate
Nobody cares about your opinion,hate
You sound stupid,hate
Your comment is useless,hate
Wonderful explanation,normal
You did a great job,normal
That was a helpful answer,normal
Thank you for explaining clearly,normal
This information is useful,normal
Very well written post,normal
I learned something new today,normal
This is a helpful community,normal
I appreciate your help,normal
You explained the topic nicely,normal
You are so rude,hate
This post is terrible,hate
You are making no sense,hate
Your comment is pointless,hate
Stop writing nonsense,hate
You sound ridiculous,hate
That was a stupid statement,hate
You are acting immature,hate
Your thinking is poor,hate
Nobody asked for your opinion,hate
Amazing explanation,normal
Very clear answer,normal
Great explanation of the topic,normal
You helped me understand this,normal
That was a good suggestion,normal
Nice contribution to the discussion,normal
You are very helpful,normal
Thank you for the support,normal
Great advice,normal
This was very useful information,normal
